Filename,DetectedText,X,Y
1.jpeg,i,1343,11
1.jpeg,a,1410,466
1.jpeg,ec-2022920AM,1412,556
10.png,100,1007,116
10.png,cmis,1013,196
10.png,.,978,253
10.png,-100,1010,271
10.png,--200,998,335
10.png,300,1010,409
10.png,stoom,993,490
11.png,mis,1001,109
11.png,-1.0,1001,178
11.png,-2.0,1001,248
11.png,-3.0,1001,317
11.png,4.0,1001,385
11.png,Spin,1000,466
12.png,100,999,112
12.png,ems,1002,189
12.png,--100,1002,249
12.png,200,1011,302
12.png,300,1011,365
12.png,400,1007,426
12.png,sobom,991,489
13.png,-100,1018,121
13.png,-cm/s,1025,198
13.png,--100,1021,275
13.png,--200,1021,351
13.png,--300,1021,429
13.png,4bpm,1018,487
14.jpeg,.,987,92
14.jpeg,100,1016,110
14.jpeg,i,1003,190
14.jpeg,aA,998,248
14.jpeg,00,1029,264
14.jpeg,200,1019,328
14.jpeg,300,1019,402
14.jpeg,67bpm,1003,470
15.jpeg,-,965,47
15.jpeg,.-,978,63
15.jpeg,-100,1003,98
15.jpeg,cmis,1017,170
15.jpeg,.,970,200
15.jpeg,-,993,222
15.jpeg,ao,1024,235
15.jpeg,200,1013,294
15.jpeg,-300,1006,361
15.jpeg,7eephP,1002,450
16.png,aE,1020,19
16.png,cms,1021,40
16.png,i...,978,102
16.png,Ps,980,178
16.png,--200,991,277
16.png,--300,991,354
16.png,--400,991,432
16.png,97bpm,983,464
17.png,Mc,990,109
17.png,400,1010,178
17.png,200,1012,254
17.png,300,1007,329
17.png,400,1012,406
17.png,87bpm,995,474
18.png,Ho,986,103
18.png,--100,1005,188
18.png,--200,1005,264
18.png,--300,1005,342
18.png,--400,1005,419
18.png,86bpm,996,472
19.png,mis,1320,129
19.png,0,1324,190
19.png,vom,1312,266
19.png,vam,1308,343
19.png,ata,1315,420
19.png,dabom,1292,465
2.png,a,1425,445
2.png,lec-2022917AM,1426,535
20.png,a,1251,45
20.png,ih,1226,78
20.png,x,1268,103
20.png,-,1290,82
20.png,--100,1308,196
20.png,--200,1308,272
20.png,--300,1308,349
20.png,--400,1308,426
20.png,debpm,1300,456
21.png,100,1321,107
21.png,A.,1281,174
21.png,00,1329,245
21.png,on,1321,321
21.png,00,1328,398
21.png,toe,1242,488
21.png,a,1301,479
22.png,a,1264,41
22.png,I,1240,57
22.png,-100,1323,65
22.png,1,1279,80
22.png,cms,1333,142
22.png,a,1266,187
22.png,We,1226,205
