Filename,UnitLabel,UnitY,300Y,PixelDistance
10.png,cm/s,196,409,213
11.png,cm/s,109,317,208
12.png,cm/s,189,365,176
13.png,cm/s,198,429,231
15.jpeg,cm/s,170,361,191
16.png,cm/s,40,354,314
22.png,cm/s,142,372,230
23.png,cm/s,78,308,230
25.png,cm/s,159,389,230
26.png,cm/s,151,382,231
28.png,cm/s,175,409,234
30.png,cm/s,186,445,259
31.jpeg,cm/s,115,345,230
34.jpeg,cm/s,154,381,227
37.png,cm/s,149,379,230
38.png,cm/s,166,397,231
39.png,cm/s,167,398,231
40.png,cm/s,164,395,231
6.jpeg,cm/s,144,371,227
